nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
BRIENNE -  MANUFACTURE;84;24;O;N;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);19T;3105551424;Toulouse;31555;1573451,031;2268436,812;1,43241742;43,60541335
HOTEL DE DEPARTEMENT;109;20;O;N;BD DE LA MARQUETTE;MARQUETTE (BD DE LA MARQUETTE);1;3105555716;Toulouse;31555;1573684,334;2269526,631;1,43505526;43,61526002
SEJOURNE - CATALANS;82;16;O;O;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);1;3105556648;Toulouse;31555;1573096,777;2268468,942;1,42802279;43,60564293
SEJOURNE  -  AMIDONNIERS;83;15;O;O;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);2;3105556648;Toulouse;31555;1573114,916;2268469,913;1,42824721;43,60565472
LECLERC -  BARCELONE;85;20;O;N;BD DU MARECHAL LECLERC;LECLERC (BD DU MARECHAL LECLERC);2;3105555656;Toulouse;31555;1573317,102;2268601,792;1,43072063;43,60687555
LASCROSSES -  PLACE ARNAUD BERNARD;90;26;O;O;BD LASCROSSES;LASCROSSES (BD LASCROSSES);3B;3105555080;Toulouse;31555;1573919,667;2269078,021;1,43807349;43,61126230
VALADE;29;19;O;O;RUE VALADE;VALADE (RUE VALADE);31;3105558676;Toulouse;31555;1573845,598;2268392,223;1,43731413;43,60507825
PLACE ANATOLE FRANCE;30;25;O;O;PL ANATOLE FRANCE;FRANCE (PL ANATOLE FRANCE);40;3105550272;Toulouse;31555;1573935,895;2268526,889;1,43840139;43,60630526
MUSEE ST RAYMOND;32;12;O;N;RUE DES TROIS RENARDS;RENARDS (RUE DES TROIS RENARDS);8;3105558616;Toulouse;31555;1574173,027;2268666,787;1,44130600;43,60760386
DUPORTAL -  LASCROSSES;88;25;O;O;BD LASCROSSES;LASCROSSES (BD LASCROSSES);17T;3105555080;Toulouse;31555;1573671,275;2268965,633;1,43502297;43,61020929
MERLY -  ARCOLE;57;15;O;O;RUE MERLY;MERLY (RUE MERLY);15;3105555896;Toulouse;31555;1574322,333;2268974,372;1,44308450;43,61039682
RAYMOND IV;97;20;O;O;RUE RAYMOND IV;RAYMOND IV (RUE RAYMOND IV);00;3105557320;Toulouse;31555;1574998,657;2269182,534;1,45141349;43,61238262
PLACE SCHUMAN;36;23;O;N;PL ROBERT SCHUMAN;SCHUMAN (PL ROBERT SCHUMAN);5;3105557536;Toulouse;31555;1574826,067;2268873,406;1,44934651;43,60957205
PISCINE LEO LAGRANGE;63;22;O;N;RUE DES SEPT TROUBADOURS;TROUBADOURS (RUE DES SEPT TROUBADOURS);54;3105558224;Toulouse;31555;1575217,761;2268630,135;1,45425316;43,60744776
PLACE DE DAMLOUP;39;19;O;N;PL DE DAMLOUP;DAMLOUP (PL DE DAMLOUP);2;3105552480;Toulouse;31555;1575100,007;2268451,322;1,45283560;43,60581907
BERALDI;33;15;O;O;RUE HENRI BERALDI;BERALDI (RUE HENRI BERALDI);11;3105554120;Toulouse;31555;1574360,638;2268775,089;1,44360466;43,60860981
CHAINE;54;18;O;O;RUE DE LA CHAINE;CHAINE (RUE DE LA CHAINE);10;3105551844;Toulouse;31555;1574025,297;2268789,832;1,43944809;43,60868649
SALENQUES;31;17;O;O;RUE DES SALENQUES;SALENQUES (RUE DES SALENQUES);7;3105558100;Toulouse;31555;1574023,778;2268645,797;1,43946242;43,60739003
PLACE SAINT JULIEN;53;24;O;O;PL SAINT JULIEN;JULIEN (PL SAINT JULIEN);0;3105557864;Toulouse;31555;1573822,350;2268794,903;1,43693343;43,60869817
DUPORTAL -  CITE ADMINISTRATIVE;52;21;O;O;BD ARMAND DUPORTAL;DUPORTAL (BD ARMAND DUPORTAL);41;3105550492;Toulouse;31555;1573647,122;2268784,325;1,43476567;43,60857361
PLACE VICTOR HUGO;7;26;O;O;RUE DU REMPART VILLENEUVE;VILLENEUVE (RUE DU REMPART VILLENEUVE);6;3105557388;Toulouse;31555;1574587,581;2268455,041;1,44648865;43,60576742
STRASBOURG - JAURES;18;24;O;O;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);4;3105558328;Toulouse;31555;1574729,149;2268510,684;1,44822915;43,60629171
LOIS;6;20;O;O;RUE DES LOIS;LOIS (RUE DES LOIS);5;3105555304;Toulouse;31555;1574246,644;2268391,166;1,44228103;43,60513577
ARCOLE -  BALANCE;91;23;O;O;BD D ARCOLE;ARCOLE (BD D ARCOLE);48;3105550428;Toulouse;31555;1574048,942;2269109,734;1,43966733;43,61156932
SAINT SERNIN  -  MERLY;56;14;O;O;RUE MERLY;MERLY (RUE MERLY);1;3105555896;Toulouse;31555;1574287,998;2268825,185;1,44269351;43,60904852
SAINT LAZARE;34;17;O;N;PETITE-RUE SAINT LAZARE;LAZARE (PETITE-RUE SAINT LAZARE);2;3105557876;Toulouse;31555;1574563,094;2268880,933;1,44608782;43,60959606
STRASBOURG  - SARDANE;17;25;O;O;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);7;3105558328;Toulouse;31555;1574689,923;2268524,750;1,44774014;43,60641178
MINIMES -  PASSERELLE;111;22;O;N;BD DES MINIMES;MINIMES (BD DES MINIMES);38B;3105555960;Toulouse;31555;1574315,729;2269517,869;1,44287793;43,61528677
BARRIERE DE PARIS;125;20;O;N;BRE DE PARIS;PARIS (BRE DE PARIS);00;310555B279;Toulouse;31555;1573625,986;2270839,216;1,43402946;43,62706244
DEMOISELLES - MISTRAL;115;16;O;N;ALL DES DEMOISELLES;DEMOISELLES (ALL DES DEMOISELLES);8;3105552584;Toulouse;31555;1575108,558;2266764,892;1,45332605;43,59064379
PONT DES DEMOISELLES;98;20;O;N;ALL DES DEMOISELLES;DEMOISELLES (ALL DES DEMOISELLES);80;3105552584;Toulouse;31555;1575629,137;2266421,412;1,45984951;43,58763878
SAINT SERNIN -  GATIEN ARNOULT;55;13;O;O;RUE GATIEN ARNOULT;ARNOULT (RUE GATIEN ARNOULT);2;3105553780;Toulouse;31555;1574159,335;2268826,712;1,44109967;43,60904078
PLACE SAINT PIERRE;28;22;O;O;PL SAINT PIERRE;PIERRE (PL SAINT PIERRE);6;3105557948;Toulouse;31555;1573742,942;2268218,187;1,43608294;43,60349486
